config_key,n_runs_with_key,total_runs,fraction
data/token_order,1002,1002,1.0000
meta.class_def_str,1002,1002,1.0000
meta.dataset_name,1002,1002,1.0000
meta.datatreatment,1002,1002,1.0000
meta.goal,1002,1002,1.0000
meta.level,1002,1002,1.0000
meta.meta_confidence,1002,1002,1.0000
meta.meta_hash,1002,1002,1.0000
meta.model_family,1002,1002,1.0000
meta.n_classes,1002,1002,1.0000
meta.needs_review,1002,1002,1.0000
meta.process_groups,1002,1002,1.0000
meta.process_groups_key,1002,1002,1.0000
meta.row_key,1002,1002,1.0000
meta.schema_version,1002,1002,1.0000
source/location,1002,1002,1.0000
ae/globals_beta,838,1002,0.8363
data/name,838,1002,0.8363
model/loop,838,1002,0.8363
model/type,838,1002,0.8363
training/batch_size,799,1002,0.7974
training/epochs,799,1002,0.7974
training/grad_clip,799,1002,0.7974
training/label_smoothing,799,1002,0.7974
training/lr,799,1002,0.7974
training/lr_schedule,799,1002,0.7974
training/warmup_steps,799,1002,0.7974
training/weight_decay,799,1002,0.7974
model/depth,795,1002,0.7934
model/dim,795,1002,0.7934
model/dropout,795,1002,0.7934
model/heads,795,1002,0.7934
model/mlp_dim,795,1002,0.7934
model/params_est,795,1002,0.7934
model/size_label,795,1002,0.7934
norm/policy,791,1002,0.7894
pooling/type,791,1002,0.7894
pos_enc/type,791,1002,0.7894
meta.datatreatment_feature_set_version,659,1002,0.6577
meta.datatreatment_globals_included,659,1002,0.6577
meta.datatreatment_id_embed_dim,659,1002,0.6577
meta.datatreatment_met_rep,659,1002,0.6577
meta.datatreatment_normalization,659,1002,0.6577
meta.datatreatment_pid_encoding,659,1002,0.6577
meta.datatreatment_token_order,659,1002,0.6577
meta.feature_mode,659,1002,0.6577
early_stop/enabled,650,1002,0.6487
early_stop/patience,650,1002,0.6487
pos_enc/rotary_base,642,1002,0.6407
meta.datatreatment_tokenization,619,1002,0.6178
pos_enc/space,616,1002,0.6148
raw/classifier/globals/include_met,574,1002,0.5729
raw/classifier/model/attention_biases,574,1002,0.5729
raw/classifier/model/attn_pairwise/enabled,574,1002,0.5729
raw/classifier/model/attn_pairwise/features,574,1002,0.5729
raw/classifier/model/attn_pairwise/hidden_dim,574,1002,0.5729
raw/classifier/model/attn_pairwise/per_head,574,1002,0.5729
raw/classifier/model/attn_pairwise/per_layer,574,1002,0.5729
raw/classifier/model/bias_config/global_conditioned/global_dim,574,1002,0.5729
raw/classifier/model/bias_config/global_conditioned/mode,574,1002,0.5729
raw/classifier/model/bias_config/lorentz_scalar/features,574,1002,0.5729
raw/classifier/model/bias_config/lorentz_scalar/hidden_dim,574,1002,0.5729
raw/classifier/model/bias_config/lorentz_scalar/per_head,574,1002,0.5729
raw/classifier/model/bias_config/lorentz_scalar/sparse_gating,574,1002,0.5729
raw/classifier/model/bias_config/sm_interaction/mask_value,574,1002,0.5729
raw/classifier/model/bias_config/sm_interaction/mode,574,1002,0.5729
raw/classifier/model/bias_config/typepair_kinematic/freeze_table,574,1002,0.5729
raw/classifier/model/bias_config/typepair_kinematic/init_from_physics,574,1002,0.5729
raw/classifier/model/bias_config/typepair_kinematic/kinematic_feature,574,1002,0.5729
raw/classifier/model/bias_config/typepair_kinematic/kinematic_gate,574,1002,0.5729
raw/classifier/model/bias_config/typepair_kinematic/mask_value,574,1002,0.5729
raw/classifier/model/causal_attention,574,1002,0.5729
raw/classifier/model/depth,574,1002,0.5729
raw/classifier/model/dim,574,1002,0.5729
raw/classifier/model/dropout,574,1002,0.5729
raw/classifier/model/heads,574,1002,0.5729
raw/classifier/model/mia_blocks/dropout,574,1002,0.5729
raw/classifier/model/mia_blocks/enabled,574,1002,0.5729
raw/classifier/model/mia_blocks/interaction_dim,574,1002,0.5729
raw/classifier/model/mia_blocks/num_blocks,574,1002,0.5729
raw/classifier/model/mia_blocks/placement,574,1002,0.5729
raw/classifier/model/mia_blocks/reduction_dim,574,1002,0.5729
raw/classifier/model/mlp_dim,574,1002,0.5729
raw/classifier/model/nodewise_mass/enabled,574,1002,0.5729
raw/classifier/model/nodewise_mass/hidden_dim,574,1002,0.5729
