dimension,value,n_runs
axes/experiment_name,(empty),547
axes/experiment_name,ch6_attention_type_exp6a,36
axes/experiment_name,ch5_lorentz_ablation_exp5b_part1,30
axes/experiment_name,ch5_lorentz_ablation_exp5b_part2,30
axes/experiment_name,builtjes_training_stability,27
axes/experiment_name,ch4_input_repr_exp4a_2,27
axes/experiment_name,ch4_data_treatment_exp4b,24
axes/experiment_name,ch5_bias_families_exp5a,21
axes/experiment_name,builtjes_baseline_test,15
axes/experiment_name,builtjes_baseline,15
axes/experiment_name,ch8_scaling_exp8a_2_4t_vs_ttH,15
axes/experiment_name,ch8_scaling_exp8a_1_4t_vs_bg,15
axes/experiment_name,ch8_scaling_exp8a_3_multiclass,15
axes/experiment_name,OrthogonalSweep_A_g01_positional,12
axes/experiment_name,ch5_typepair_init_exp5c_part2,12
axes/experiment_name,OrthogonalSweep_A_g05_attention_norm,9
axes/experiment_name,OrthogonalSweep_A_g02_norm_policy,9
axes/experiment_name,ch5_sm_mode_exp5d,9
axes/experiment_name,ch6_diff_bias_mode_exp6b,9
axes/experiment_name,OrthogonalSweep_A_g04_attention_type,6
axes/experiment_name,OrthogonalSweep_A_g03_norm_type,6
axes/experiment_name,OrthogonalSweep_A_g06c_ffn_kan_bottleneck,6
axes/experiment_name,OrthogonalSweep_A_g06b_ffn_kan_hybrid,6
axes/experiment_name,OrthogonalSweep_A_g06d_ffn_kan_pure,6
axes/experiment_name,OrthogonalSweep_B_g09_tokenizer,6
axes/experiment_name,OrthogonalSweep_B_g11_met,6
axes/experiment_name,OrthogonalSweep_B_g16_causal,6
axes/experiment_name,OrthogonalSweep_B_g12_cont_features,6
axes/experiment_name,phd_exp1_4t_vs_bg_sizes_and_pe,5
axes/experiment_name,OrthogonalSweep_A_g06a_ffn_standard,3
axes/experiment_name,OrthogonalSweep_B_g07a_head_linear,3
axes/experiment_name,OrthogonalSweep_B_g07c_head_moe,3
axes/experiment_name,OrthogonalSweep_B_g07b_head_kan,3
axes/experiment_name,OrthogonalSweep_B_g08_pooling,3
axes/experiment_name,OrthogonalSweep_B_g10_pid_mode,3
axes/experiment_name,OrthogonalSweep_C_g13a_lorentz_part,3
axes/experiment_name,OrthogonalSweep_C_g13b_lorentz_mipart,3
axes/experiment_name,OrthogonalSweep_C_g13c_sm_binary,3
axes/experiment_name,OrthogonalSweep_C_g13f_typepair_physics,3
axes/experiment_name,OrthogonalSweep_C_g13d_sm_running,3
axes/experiment_name,OrthogonalSweep_C_g13e_typepair_scratch,3
axes/experiment_name,OrthogonalSweep_C_g13g_global_met,3
axes/experiment_name,OrthogonalSweep_C_g14b_mia,3
axes/experiment_name,OrthogonalSweep_C_g14a_nodewise_mass,3
axes/experiment_name,OrthogonalSweep_C_g15a_moe_token_all,3
axes/experiment_name,OrthogonalSweep_C_g15c_moe_token_middle,3
axes/experiment_name,OrthogonalSweep_C_g15b_moe_event_all,3
axes/experiment_name,ch4_input_repr_exp4a_1_raw,3
axes/experiment_name,ch4_input_repr_exp4a_1_binned,3
axes/experiment_name,ch5_typepair_init_exp5c_part1,3
axes/experiment_name,ch5_lorentz_ablation_exp5b,2
axes/experiment_name,part_builtjes_int_single,1
wandb.group,exp_20251120-144239_overfitting_regularization_sweep,72
wandb.group,exp_20260206-161827_emb_pe_4tbg,40
wandb.group,exp_20260211-141827_exp_binning_vs_direct,36
wandb.group,exp_20260417-162636_ch6_attention_type_exp6a,36
wandb.group,(empty),30
wandb.group,exp_20260414-125317_ch5_lorentz_ablation_exp5b_part1,30
wandb.group,exp_20260414-125518_ch5_lorentz_ablation_exp5b_part2,30
wandb.group,exp_20251031-152750_compare_globals_heads,27
wandb.group,exp_20260320-155922_builtjes_training_stability,27
wandb.group,exp_20260410-162037_ch4_input_repr_exp4a_2,27
wandb.group,exp_20251118-100642_compare_norm_pos_pool_regularized,24
wandb.group,exp_20251128-171141_selective_positional_encoding,24
wandb.group,exp_20251208-140119_phd_exp2_4t_vs_bg_selective_masks,24
wandb.group,exp_20260410-163637_ch4_data_treatment_exp4b,24
wandb.group,exp_20260415-133937_ch5_bias_families_exp5a,18
wandb.group,exp_20251208-135941_phd_exp1_4t_vs_bg_sizes_and_pe,16
wandb.group,exp_20260130-152937_order_pe_attention_4t_vs_bg,16
wandb.group,exp_20260319-180951_builtjes_baseline,15
wandb.group,exp_20260320-123722_builtjes_baseline_test,15
wandb.group,exp_20260320-124123_builtjes_baseline,15
wandb.group,exp_20260420-130733_ch8_scaling_exp8a_2_4t_vs_ttH,15
wandb.group,exp_20260420-130733_ch8_scaling_exp8a_1_4t_vs_bg,15
wandb.group,exp_20260420-130826_ch8_scaling_exp8a_3_multiclass,15
wandb.group,exp_20260130-152937_model_size_sweep_4t_vs_bg,14
wandb.group,exp_20251114-150838_compare_norm_pos_pool_trial,12
wandb.group,exp_20251114-153438_compare_norm_pos_pool,12
wandb.group,exp_20251120-131238_compare_norm_pos_pool_trial,12
wandb.group,exp_20251126-150519_compare_positional_encodings,12
wandb.group,exp_20251208-140119_phd_exp3_4t_vs_ttH_norm_policies,12
wandb.group,exp_20260307-102218_4tbg_physics_combinations,12
wandb.group,exp_20260307-160733_4tbg_physics_interpretability,12
wandb.group,exp_20260307-193837_4tbg_physics_interpretability,12
