config_key,T1_identity,T1_binned_or_raw,E1_rotary,A3_differential,T1_not_identity_no_bias
ae/globals_beta,1,1,1,1,1
attention/diff_bias_mode,shared,shared,,shared,shared
attention/norm,none,none,,none,none
attention/type,standard,standard,,differential,standard
axes/attention_biases,none,none,,none,none
axes/attention_norm,none,none,,none,none
axes/attention_type,standard,standard,,differential,standard
axes/batch_size,64,512,,64,512
axes/causal_attention,False,False,,False,False
axes/cont_features,,,,,
axes/depth,6,8,,6,8
axes/diff_bias_mode,shared,shared,,shared,shared
axes/dim,64,128,,64,128
axes/dropout,0.1,0.1,,0.1,0.1
axes/epochs,50,10,,50,10
axes/experiment_name,phd_exp1_4t_vs_bg_sizes_and_pe,builtjes_baseline_test,,OrthogonalSweep_A_g04_attention_type,builtjes_baseline_test
axes/ffn_type,standard,standard,,standard,standard
axes/global_conditioned_mode,global_scale,global_scale,,global_scale,global_scale
axes/head_type,linear,linear,,linear,linear
axes/heads,8,8,,8,8
axes/id_embed_dim,8,8,,8,8
axes/include_met,False,True,,False,True
axes/kan_ffn_variant,hybrid,hybrid,,hybrid,hybrid
axes/kan_grid_size,5,5,,5,5
axes/kan_spline_order,3,3,,3,3
axes/lorentz_features,"[""m2"", ""deltaR""]","[""m2"", ""deltaR""]",,"[""m2"", ""deltaR""]","[""m2"", ""deltaR""]"
axes/lorentz_mlp_type,standard,standard,,standard,standard
axes/lorentz_per_head,False,False,,False,False
axes/lorentz_sparse_gating,False,False,,False,False
axes/lr,0.0001,0.001,,0.0001,0.001
axes/mia_enabled,False,False,,False,False
axes/mia_placement,prepend,prepend,,prepend,prepend
axes/mlp_dim,128,512,,128,512
axes/model_size_key,d64_L6,d128_L8,,d64_L6,d128_L8
axes/moe_enabled,False,False,,False,False
axes/moe_routing_level,token,token,,token,token
axes/moe_scope,all_blocks,all_blocks,,all_blocks,all_blocks
axes/moe_top_k,1,1,,1,1
axes/nodewise_mass_enabled,False,False,,False,False
axes/norm_policy,post,post,,post,post
axes/norm_type,layernorm,layernorm,,layernorm,layernorm
axes/pid_mode,learned,learned,,learned,learned
axes/pooling,cls,cls,,cls,cls
axes/positional,none,sinusoidal,,none,sinusoidal
axes/positional_dim_mask,,,,,
axes/positional_space,model,model,,model,model
axes/seed,42,42,,42,42
axes/sm_mode,binary,running_coupling,,binary,running_coupling
axes/token_order,input_order,input_order,,input_order,input_order
axes/tokenizer_name,identity,raw,,identity,raw
axes/typepair_freeze,False,False,,False,False
axes/typepair_init,none,none,,none,none
axes/typepair_kinematic_gate,True,True,,True,True
axes/weight_decay,0.01,0.01,,0.01,0.01
bias/global_mode,global_scale,global_scale,,global_scale,global_scale
bias/lorentz_features,"['m2', 'deltaR']","['m2', 'deltaR']",,"['m2', 'deltaR']","['m2', 'deltaR']"
bias/lorentz_per_head,False,False,,False,False
bias/lorentz_sparse_gating,False,False,,False,False
bias/selector,none,none,,none,none
bias/sm_mode,binary,running_coupling,,binary,running_coupling
bias/typepair_freeze,False,False,,False,False
bias/typepair_init,none,none,,none,none
bias/typepair_kinematic_gate,True,True,,True,True
data/cont_features,,,,,
data/name,/data/atlas/users/nterlind/datasets/4tops_splitted.h5,/data/atlas/users/nterlind/datasets/4tops_splitted.h5,/data/atlas/users/nterlind/datasets/4tops_splitted.h5,/data/atlas/users/nterlind/datasets/4tops_splitted.h5,/data/atlas/users/nterlind/datasets/4tops_splitted.h5
data/shuffle_tokens,,,,,
data/token_order,input_order,input_order,input_order,input_order,input_order
early_stop/enabled,False,False,False,False,False
early_stop/patience,20,20,10,20,20
ffn/kan_variant,hybrid,hybrid,,hybrid,hybrid
ffn/type,standard,standard,,standard,standard
globals/include_met,False,True,,False,True
head/type,linear,linear,,linear,linear
kan/bias_global_mlp_type,standard,standard,,standard,standard
kan/bias_lorentz_mlp_type,standard,standard,,standard,standard
kan/grid_range,"[-2, 2]","[-2, 2]",,"[-2, 2]","[-2, 2]"
kan/grid_size,5,5,,5,5
kan/grid_update_freq,0,0,,0,0
kan/spline_order,3,3,,3,3
kan/spline_reg_weight,0,0,,0,0
