column_name,kind
_runtime,summary
_step,summary
_timestamp,summary
_wandb,summary
data/seq_length_tokens,summary
epoch,summary
interpretability/lambda/layer_0,summary
interpretability/lambda/layer_1,summary
interpretability/lambda/layer_2,summary
interpretability/lambda/layer_3,summary
interpretability/lambda/layer_4,summary
interpretability/lambda/layer_5,summary
model/num_parameters,summary
moe/train_aux_loss,summary
moe/train_expert_utilization,summary
moe/val_aux_loss,summary
moe/val_expert_utilization,summary
perf/data_time_s,summary
perf/epoch_time_s,summary
perf/epoch_total_s,summary
perf/eval_time_s,summary
perf/max_memory_mib,summary
perf/throughput,summary
perf/throughput_samples_sec,summary
perf/train_time_s,summary
test/acc,summary
test/auroc,summary
test/f1,summary
test/loss,summary
test/perplex,summary
test/rec_tokens,summary
train/acc,summary
train/f1,summary
train/loss,summary
train/perplex,summary
train/rec_tokens,summary
training/lr_current,summary
val/acc,summary
val/auroc,summary
val/codebook,summary
val/f1,summary
val/loss,summary
val/perplex,summary
val/rec_globals,summary
val/rec_tokens,summary
_wandb,config
ae/globals_beta,config
attention/diff_bias_mode,config
attention/norm,config
attention/type,config
axes/A1_Normalization Policy,config
axes/A2_Normalization Type,config
axes/A3-a_Differential Attention Bias Mode,config
axes/A3_Attention Type,config
axes/A4_Attention Internal Normalization,config
axes/A5_Causal Masking,config
axes/B1-G1_Global-Conditioned Mode,config
axes/B1-G2_Global-Conditioned MLP Type,config
axes/B1-G3_Global-Conditioned Global Dimension,config
axes/B1-L1_Lorentz Feature Set,config
axes/B1-L2_Lorentz MLP Type,config
axes/B1-L3_Lorentz Hidden Dimension,config
axes/B1-L4_Lorentz Per-Head Mode,config
axes/B1-L5_Lorentz Sparse Gating,config
axes/B1-S1_SM Interaction Mode,config
axes/B1-S2_SM Mask Value,config
axes/B1-T1_Type-Pair Initialization,config
axes/B1-T2_Type-Pair Freeze Table,config
axes/B1-T3_Type-Pair Kinematic Gate,config
axes/B1-T4_Type-Pair Kinematic Feature,config
axes/B1-T5_Type-Pair Mask Value,config
axes/B1_Bias Activation Set,config
axes/C1_Head Realization,config
axes/C2_Pooling Strategy,config
axes/D1_Feature Set,config
axes/D2_MET Treatment,config
axes/D3_Token Ordering,config
axes/E1-a1_PE Dimension Mask,config
axes/E1-a_PE Space,config
axes/E1-b_Rotary Base Frequency,config
axes/E1_PE Type,config
axes/F1-a1_KAN FFN Bottleneck Dimension,config
axes/F1-a_KAN FFN Variant,config
axes/F1-b_MoE Encoder Scope,config
axes/F1-eff_FFN Realization,config
axes/F1-moe_MoE Enabled,config
axes/F1_FFN Type,config
axes/G1_Task Type,config
axes/G2_Model Family,config
axes/G3_Classification Task,config
axes/H10_Model Size Label,config
axes/H1_Model Dimension,config
axes/H2_Encoder Depth,config
axes/H3_Attention Heads,config
axes/H4_FFN Hidden Dimension,config
axes/H5_Dropout,config
axes/K1_KAN Grid Size,config
axes/K2_KAN Spline Order,config
axes/K3_KAN Grid Range,config
axes/K4_KAN Spline Regularization Weight,config
axes/K5_KAN Grid Update Frequency,config
axes/L1_Log PID Embeddings,config
axes/L2_Interpretability Enabled,config
axes/L3_Save Attention Maps,config
axes/L4_Save KAN Splines,config
axes/L5_Save MoE Routing,config
axes/L6_Save Gradient Norms,config
axes/L7_Checkpoint Epochs,config
axes/M1_MoE Number of Experts,config
axes/M2_MoE Top K,config
axes/M3_MoE Routing Level,config
axes/M4_MoE Load Balance Weight,config
axes/M5_MoE Noisy Gating,config
axes/P1-a_Nodewise Mass Neighbourhood Sizes,config
axes/P1-b_Nodewise Mass Hidden Dimension,config
axes/P1_Nodewise Mass Enabled,config
axes/P2-a_MIA Placement,config
axes/P2-b_MIA Number of Blocks,config
axes/P2-c_MIA Interaction Dimension,config
axes/P2-d_MIA Reduction Dimension,config
axes/P2-e_MIA Dropout,config
axes/P2_MIA Pre-Encoder Enabled,config
axes/R10_Early Stop Enabled,config
axes/R11_Early Stop Patience,config
axes/R12_Early Stop Min Delta,config
axes/R13_Restore Best Weights,config
axes/R14_PID Schedule Mode,config
axes/R15_PID Transition Epoch,config
axes/R16_PID Reinit Mode,config
axes/R17_PID Separate LR,config
axes/R1_Epochs,config
axes/R2_Learning Rate,config
axes/R3_Weight Decay,config
axes/R4_Batch Size,config
axes/R5_Seed,config
axes/R6_Warmup Steps,config
axes/R7_LR Schedule,config
axes/R8_Label Smoothing,config
axes/R9_Gradient Clipping,config
axes/S1_Shared Backbone Enabled,config
axes/S2_Shared Backbone Features,config
axes/T1-a_PID Embedding Mode,config
axes/T1-b_PID Embedding Dimension,config
axes/T1-c_Pretrained Model Type,config
axes/T1_Tokenizer Family,config
axes/attention_biases,config
